ID	Task_duration_Pr_DragDrop	Working_time_Pr_DragDrop	mouse_dist__Pr_DragDrop	speed_mean__Pr_DragDrop	speed_sd__Pr_DragDrop	pos_accel_mean_Pr_DragDrop	pos_accel_sd_Pr_DragDrop	neg_accel_mean_Pr_DragDrop	neg_accel_sd_Pr_DragDrop	angle_mean__Pr_DragDrop	angle_sd__Pr_DragDrop	x_flips__Pr_DragDrop	y_flips__Pr_DragDrop	total_dev_ideal_line__Pr_DragDrop	mean_dev_ideal_line__Pr_DragDrop	sd_dev_ideal_line__Pr_DragDrop	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_DragDrop	Working_time_Con_DragDrop	mouse_dist__Con_DragDrop	speed_mean__Con_DragDrop	speed_sd__Con_DragDrop	pos_accel_mean_Con_DragDrop	pos_accel_sd_Con_DragDrop	neg_accel_mean_Con_DragDrop	neg_accel_sd_Con_DragDrop	angle_mean__Con_DragDrop	angle_sd__Con_DragDrop	x_flips__Con_DragDrop	y_flips__Con_DragDrop	total_dev_ideal_line__Con_DragDrop	mean_dev_ideal_line__Con_DragDrop	sd_dev_ideal_line__Con_DragDrop	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
00TRzV9mL7Vchd3wTP7GQeXQoP12	28.301	26.287	13440.285951941258	511.42645263671875	935.4539794921875	8.699109077453613	23.079833984375	-8.39416217803955	19.539432525634766	7.458939360740988	17.19685809353019	31.0	29.0	10129.02299592258	11.97284042071227	14.86620062542285	1.0	1.0	1.75	1.25	1.5	2.0	40.596	37.588	20718.27967630013	551.3847045898438	1075.68359375	9.740588188171387	23.276161193847656	-9.677961349487305	22.207944869995117	7.7678993180018905	17.920704754979035	47.0	47.0	9659.792258725654	12.448185900419658	15.394153744521075	2.0	2.0	1.75	1.25	1.25	1.0	1.0	1976.0	1.0	3.0
00ab0X0B6JQVYBrc8xU6GHIOxEL2	41.536	39.086	14749.267626219982	377.46044921875	875.3743896484375	6.092179298400879	16.513790130615234	-6.103759288787842	17.700576782226562	7.544328800235355	18.200169650697443	43.0	47.0	10775.649635273552	8.231970691576434	12.017773029641733	1.0	3.0	2.0	2.5	1.5	0.0	43.076	34.317	14346.639919784586	418.2084045410156	770.83203125	5.824376583099365	13.269845008850098	-5.86159610748291	13.076226234436035	7.193062600143562	17.948414432410253	39.0	39.0	12158.866934915106	12.457855466101543	15.307475597540702	1.0	3.0	2.5	2.75	1.75	1.0	1.0	1952.0	2.0	5.0
0FJuIKlKgoUhc4jzmewtctIch3x2	41.504	38.974	17304.677400454337	444.0513000488281	984.4864501953125	7.45426082611084	18.5644588470459	-7.309178352355957	17.873600006103516	9.871422281423587	24.381621497121667	55.0	58.0	10724.571664692516	10.351903151247601	12.278996966620104	0.0	4.0	2.75	4.0	2.25	0.0	31.937	27.339	12588.62641336743	460.61566162109375	835.7482299804688	6.919778823852539	13.675178527832031	-6.642614841461182	12.740151405334473	9.071452923185229	21.295963459046273	42.0	38.0	6721.6235864758255	8.639619005752989	10.381805300178184	0.0	4.0	3.0	4.0	3.0	0.0	0.0	1962.0	2.0	3.0
0Gkv1uh990bMQ4dRYJmrmksZpyy2	48.259	44.948	12475.94068727375	277.61328125	441.53033447265625	4.037397384643555	9.541971206665039	-3.987110137939453	8.843731880187988	6.49858941164189	15.992239124645934	25.0	27.0	10799.78173699354	9.764721281187649	15.451726970738877	1.0	3.0	2.25	2.75	2.25	0.0	45.683	42.45	14475.189263113978	341.1144104003906	530.2339477539062	4.903139114379883	11.664487838745117	-4.953352451324463	10.117816925048828	6.57286152464067	15.054807675239626	30.0	21.0	11130.739767841185	10.383152768508568	10.476534428381393	1.0	3.0	2.25	2.75	2.25	0.0	0.0	1951.0	2.0	3.0
0SGumftAKiSMAHmiRFgYWKTuJBv2	38.112	36.777	15886.35982567078	432.1055603027344	833.4584350585938	7.195608615875244	16.85435676574707	-7.644234657287598	17.61989402770996	8.24388342246532	18.835731566628215	32.0	38.0	8494.311868873427	10.185026221670775	11.371238876956543	2.0	3.0	2.25	3.5	3.0	1.0	37.963	35.398	14100.05041324502	398.4753723144531	701.8524169921875	6.25261926651001	14.410707473754883	-6.327361106872559	14.509286880493164	9.014706671374	17.01147309688646	29.0	27.0	11269.089639944696	11.058969224675854	12.671142149478525	2.0	3.0	2.5	3.25	3.0	0.0	1.0	1960.0	2.0	4.0
0dId8WvZJXOQVEq2yiClTP09BA52	39.009	37.63	15062.959837802297	400.39764404296875	860.6889038085938	9.605992317199707	32.24797821044922	-8.634679794311523	22.149038314819336	10.987114714835917	20.900526801231287	35.0	31.0	5528.853242299505	7.217824076109014	7.170614924750107	2.0	1.0	1.75	2.5	1.5	2.0	43.178	39.372	16079.360489570692	408.5203552246094	812.0773315429688	9.760299682617188	33.69450759887695	-8.718836784362793	22.39300537109375	11.222482425885477	21.315506452339505	35.0	33.0	9651.986606492395	11.184225499991188	10.341630277530346	1.0	2.0	1.5	0.75	1.75	4.0	0.0	1978.0	1.0	3.0
0fsPLgG0FMhnICv9c2EVyG4rxri1	39.151	37.94	17118.98473621365	451.27154541015625	974.0955200195312	10.321890830993652	28.36023712158203	-9.643712043762207	23.55685806274414	6.768860069906964	17.50432719884196	37.0	45.0	6932.7261759502035	8.156148442294358	8.702010398138217	0.0	3.0	2.0	3.0	2.25	1.0	40.001	38.079	17611.059821683157	462.5967712402344	1010.85302734375	10.317398071289062	27.90694236755371	-9.839372634887695	26.3806209564209	7.203182952737467	17.73839514147884	43.0	46.0	13625.861360840117	13.490951842415958	13.646784387698322	1.0	3.0	1.75	1.75	2.0	2.0	1.0	1966.0	1.0	5.0
0hviV1NhqqfHA4DiNQhduEe6US13	24.561	23.673	13920.562214576015	588.1099243164062	963.7999267578125	11.214487075805664	22.889705657958984	-10.63606071472168	23.229137420654297	8.641898164966092	17.47462049812276	30.0	31.0	5432.599897099381	9.35043011548947	8.203716033563209	0.0	3.0	2.5	3.5	2.0	0.0	24.904	22.692	13884.380356348283	612.1860961914062	960.6814575195312	10.319229125976562	19.0459041595459	-9.667586326599121	18.62175178527832	8.106316880308864	19.312530064534396	25.0	35.0	5530.663013831945	11.06132602766389	10.300885658539395	0.0	3.0	2.25	3.5	2.0	0.0	1.0	1989.0	1.0	4.0
0oBlAr5vhCMKUUWqF368klmi1s53	32.248	30.587	11318.191072677018	370.05694580078125	543.5740966796875	7.185534954071045	14.338098526000977	-6.97294807434082	13.601016998291016	8.439596449111475	19.006863734669043	25.0	21.0	7049.610245138945	8.565747563959837	12.200687313143199	1.0	1.0	2.25	3.25	3.0	0.0	38.61	35.146	14636.487514956021	416.4600524902344	603.1416015625	7.9543890953063965	16.06633758544922	-7.78137731552124	14.635107040405273	10.846595975478392	21.729424475509038	42.0	41.0	7551.53612455402	9.011379623572816	9.663934832102434	2.0	1.0	2.5	2.5	3.0	1.0	0.0	1966.0	2.0	4.0
0povB0P3QMbdikY4OVOzkXGM50B3	30.496	28.161	16583.2624547337	588.9988403320312	964.2028198242188	11.427299499511719	22.629201889038086	-10.681450843811035	20.44851303100586	10.714545861905867	20.5334799218964	44.0	38.0	6551.873603580674	9.215012100676054	10.36133702324108	4.0	4.0	3.0	4.0	3.0	0.0	25.733	22.922	14118.945145272857	616.0098266601562	973.807373046875	11.851325035095215	24.912391662597656	-11.71938419342041	22.124217987060547	10.884146245063716	20.827471981569936	38.0	44.0	4063.681914202448	6.852751963241902	7.9987733287197145	4.0	4.0	3.0	3.0	3.0	0.0	0.0	1976.0	2.0	4.0
