ID	Task_duration_Pr_FollowBox	Working_time_Pr_FollowBox	mouse_dist__Pr_FollowBox	speed_mean__Pr_FollowBox	speed_sd__Pr_FollowBox	pos_accel_mean_Pr_FollowBox	pos_accel_sd_Pr_FollowBox	neg_accel_mean_Pr_FollowBox	neg_accel_sd_Pr_FollowBox	angle_mean__Pr_FollowBox	angle_sd__Pr_FollowBox	x_flips__Pr_FollowBox	y_flips__Pr_FollowBox	In_target_ratio__Pr_FollowBox	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_FollowBox	Working_time_Con_FollowBox	mouse_dist__Con_FollowBox	speed_mean__Con_FollowBox	speed_sd__Con_FollowBox	pos_accel_mean_Con_FollowBox	pos_accel_sd_Con_FollowBox	neg_accel_mean_Con_FollowBox	neg_accel_sd_Con_FollowBox	angle_mean__Con_FollowBox	angle_sd__Con_FollowBox	x_flips__Con_FollowBox	y_flips__Con_FollowBox	In_target_ratio__Con_FollowBox	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
00TRzV9mL7Vchd3wTP7GQeXQoP12	25.509	24.974	7439.355399506739	298.0511169433594	206.00106811523438	5.480714321136475	5.428727149963379	-5.767806053161621	6.474915504455566	7.624495394945033	10.201850560904562	21.0	10.0	0.5603511338697879	2.0	1.0	1.75	1.25	1.5	2.0	26.48	25.074	7194.13871055958	287.019287109375	225.640625	4.763088226318359	5.283810615539551	-4.940213203430176	5.81879997253418	7.269499899555991	10.424764142835997	11.0	9.0	0.6233666410453498	2.0	2.0	1.75	1.25	1.25	1.0	1.0	1976.0	1.0	3.0
00ab0X0B6JQVYBrc8xU6GHIOxEL2	26.738	25.179	7477.327290494668	297.072998046875	216.03396606445312	5.428890228271484	5.626395225524902	-5.501788139343262	6.1273932456970215	9.213999650676234	12.628677477004889	25.0	15.0	0.6276060388209921	1.0	4.0	2.0	2.5	1.5	0.0	26.569	23.246	7515.667040599512	323.46319580078125	430.8009338378906	6.103167533874512	10.091509819030762	-6.202221393585205	11.887460708618164	9.350429653672181	15.440184874951154	34.0	34.0	0.27711941659070194	1.0	3.0	2.5	2.75	1.75	1.0	1.0	1952.0	2.0	5.0
06OMljv8cMRWXdQzI0PcuHVLTnQ2	26.119	25.147	6457.825869021341	256.8745422363281	244.22900390625	6.82921028137207	8.601545333862305	-6.72415828704834	8.80034065246582	14.623733408398373	20.24149202308342	75.0	72.0	0.03891977760127085	1.0	2.0	2.0	1.5	1.75	2.0	37.762	25.034	7639.832616191941	305.3490295410156	430.75897216796875	7.441810131072998	15.429096221923828	-7.447543621063232	15.794620513916016	11.290215078233645	19.459969068613418	55.0	41.0	0.2917505030181087	3.0	1.0	1.75	2.0	2.0	1.0	0.0	1950.0	2.0	5.0
0FJuIKlKgoUhc4jzmewtctIch3x2	25.698	24.983	7415.838071605582	296.9304504394531	211.2408447265625	3.9053878784179688	4.183911323547363	-4.175831317901611	4.47977352142334	7.173119814251548	9.96182118797174	15.0	13.0	0.805378627034678	0.0	4.0	2.75	4.0	2.25	0.0	25.785	24.982	7167.162399798915	286.97344970703125	174.7869415283203	3.589174270629883	3.5104620456695557	-3.710181474685669	3.7315471172332764	6.737912617706188	10.153744085061982	16.0	14.0	0.8926553672316384	0.0	4.0	3.0	4.0	3.0	0.0	0.0	1962.0	2.0	3.0
0Gkv1uh990bMQ4dRYJmrmksZpyy2	26.887	24.996	7304.094044185508	292.28070068359375	245.66030883789062	5.1493401527404785	6.843565940856934	-5.114551067352295	6.976986885070801	8.229910347457759	12.352716670117495	18.0	12.0	0.41705790297339596	1.0	3.0	2.25	2.75	2.25	0.0	28.003	25.084	7252.16653769795	289.1613464355469	270.4387512207031	5.265837669372559	6.731172561645508	-5.5255632400512695	7.47468376159668	7.843041283401588	11.606279957686233	10.0	9.0	0.35411855273287146	1.0	3.0	2.25	2.75	2.25	0.0	0.0	1951.0	2.0	3.0
0SGumftAKiSMAHmiRFgYWKTuJBv2	25.689	24.991	7072.354519399345	283.00738525390625	257.68585205078125	5.219336032867432	6.497953414916992	-5.433616638183594	7.2620110511779785	8.513570294193782	11.843603841878634	12.0	12.0	0.587218045112782	2.0	2.0	2.25	3.5	3.0	1.0	26.371	24.991	7049.553441111151	282.0950012207031	250.13868713378906	5.401778697967529	6.475530624389648	-5.644069671630859	6.951661586761475	9.08520441408104	13.044583008276165	13.0	12.0	0.634184068058778	2.0	2.0	2.5	3.25	3.0	0.0	1.0	1960.0	2.0	4.0
0dId8WvZJXOQVEq2yiClTP09BA52	26.287	24.98	7160.8485876066525	286.7206726074219	214.26963806152344	5.988440036773682	6.571500301361084	-6.000176906585693	6.546774864196777	11.106340609838837	14.031451327587794	19.0	14.0	0.5193525686136523	2.0	2.0	1.75	2.5	1.5	2.0	27.283	24.98	7495.264056271693	300.1106872558594	199.7724609375	6.341485977172852	6.9969563484191895	-6.097837448120117	7.124635696411133	10.934833399846108	13.56588185005147	12.0	16.0	0.5493741307371349	4.0	0.0	1.5	0.75	1.75	4.0	0.0	1978.0	1.0	3.0
0fsPLgG0FMhnICv9c2EVyG4rxri1	25.8	25.018	7106.3740455468	284.1981201171875	220.2447509765625	5.746704578399658	6.60789680480957	-5.63967752456665	6.828525066375732	7.291219042192977	12.17412539440144	13.0	12.0	0.5325704225352113	2.0	3.0	2.0	3.0	2.25	1.0	26.26	25.018	7275.863667975891	290.9763488769531	227.59420776367188	6.14659309387207	6.703081130981445	-6.114156246185303	6.943704128265381	7.346117043212714	10.884432781416614	16.0	14.0	0.5217391304347826	2.0	2.0	1.75	1.75	2.0	2.0	1.0	1966.0	1.0	5.0
0hviV1NhqqfHA4DiNQhduEe6US13	25.626	24.983	7044.544547574167	282.0638427734375	189.65847778320312	4.512922763824463	5.0516252517700195	-4.4150543212890625	4.63734245300293	7.782293268003462	9.266989256123557	13.0	9.0	0.7178947368421053	0.0	3.0	2.5	3.5	2.0	0.0	25.983	24.983	7121.212798250137	285.1336669921875	166.86178588867188	4.319384574890137	4.371974468231201	-4.472832679748535	4.877028942108154	6.783757748634888	9.426804680830868	12.0	10.0	0.7346796657381616	0.0	3.0	2.25	3.5	2.0	0.0	1.0	1989.0	1.0	4.0
0oBlAr5vhCMKUUWqF368klmi1s53	27.193	24.958	7747.352843191147	310.577392578125	399.55621337890625	7.937690734863281	13.203511238098145	-7.948153495788574	15.084084510803223	12.292188958724598	20.98143962463546	54.0	42.0	0.36660929432013767	2.0	4.0	2.25	3.25	3.0	0.0	26.811	25.009	7512.468339330715	300.4386291503906	399.5086975097656	7.33851432800293	15.758907318115234	-7.748310089111328	12.935079574584961	12.590575130431798	18.06817010245009	32.0	25.0	0.32376717865804366	2.0	1.0	2.5	2.5	3.0	1.0	0.0	1966.0	2.0	4.0
