ID	Task_duration_Pr_PointClick	Working_time_Pr_PointClick	mouse_dist__Pr_PointClick	speed_mean__Pr_PointClick	speed_sd__Pr_PointClick	pos_accel_mean_Pr_PointClick	pos_accel_sd_Pr_PointClick	neg_accel_mean_Pr_PointClick	neg_accel_sd_Pr_PointClick	angle_mean__Pr_PointClick	angle_sd__Pr_PointClick	x_flips__Pr_PointClick	y_flips__Pr_PointClick	total_dev_ideal_line__Pr_PointClick	mean_dev_ideal_line__Pr_PointClick	sd_dev_ideal_line__Pr_PointClick	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_PointClick	Working_time_Con_PointClick	mouse_dist__Con_PointClick	speed_mean__Con_PointClick	speed_sd__Con_PointClick	pos_accel_mean_Con_PointClick	pos_accel_sd_Con_PointClick	neg_accel_mean_Con_PointClick	neg_accel_sd_Con_PointClick	angle_mean__Con_PointClick	angle_sd__Con_PointClick	x_flips__Con_PointClick	y_flips__Con_PointClick	total_dev_ideal_line__Con_PointClick	mean_dev_ideal_line__Con_PointClick	sd_dev_ideal_line__Con_PointClick	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
00TRzV9mL7Vchd3wTP7GQeXQoP12	16.935	14.488	4461.884476156042	311.4753723144531	490.119140625	5.033243179321289	9.692276000976562	-4.894893646240234	9.63955020904541	8.129689119820638	18.386514907873245	17.0	21.0	10217.040848749695	15.04718828976391	18.2602969165336	0.0	2.0	1.75	1.25	1.5	2.0	16.598	13.953	3900.821063931565	282.9757995605469	514.3942260742188	4.861896514892578	10.679874420166016	-4.7517194747924805	11.017533302307129	7.484643706601535	19.61656612906374	19.0	20.0	6222.808231597267	10.406033832102453	9.452562344981596	1.0	2.0	1.75	1.25	1.25	1.0	1.0	1976.0	1.0	3.0
00ab0X0B6JQVYBrc8xU6GHIOxEL2	22.344	19.746	4314.029402631245	221.0622100830078	457.1676940917969	3.7280337810516357	9.864757537841797	-3.8067963123321533	10.609251976013184	7.999862823679523	19.38092847565222	38.0	21.0	7414.236014726972	7.604344630489202	8.464975261732192	1.0	3.0	2.0	2.5	1.5	0.0	28.026	20.161	4404.326424105647	223.96780395507812	417.22369384765625	3.7428460121154785	8.619958877563477	-3.769350290298462	8.470569610595703	8.994027041184474	19.09057169706166	29.0	28.0	8225.416534810332	8.095882416151902	9.732338585462065	1.0	3.0	2.5	2.75	1.75	1.0	1.0	1952.0	2.0	5.0
06OMljv8cMRWXdQzI0PcuHVLTnQ2	33.368	26.319	4531.817513859049	173.63287353515625	421.13031005859375	4.548243045806885	13.733942985534668	-4.496945381164551	13.635644912719727	8.501292875683312	20.448157730641473	60.0	44.0	19108.023990210873	15.611130710956596	19.73991798521699	2.0	2.0	2.0	1.5	1.75	2.0	36.993	25.15	5563.626738165528	221.57015991210938	568.6384887695312	5.9142913818359375	18.538898468017578	-5.735224723815918	19.071727752685547	9.932255400323262	21.594478984147017	55.0	54.0	23158.877247064614	15.829717872224617	21.13083383585459	2.0	2.0	1.75	2.0	2.0	1.0	0.0	1950.0	2.0	5.0
0FJuIKlKgoUhc4jzmewtctIch3x2	18.79	16.22	4055.667055847839	255.0734100341797	479.61138916015625	4.175892353057861	8.811249732971191	-4.015357971191406	8.589526176452637	9.186584918398909	22.90575079609923	21.0	26.0	7518.638539107936	11.238622629458797	12.131350918914427	0.0	4.0	2.75	4.0	2.25	0.0	22.32	17.133	3857.9491162406916	230.25660705566406	415.77923583984375	3.8627841472625732	7.709317207336426	-3.7152576446533203	7.590297222137451	8.143814300749387	21.08298224081249	21.0	26.0	6377.251008755767	8.881965193253157	10.95878967690668	0.0	4.0	3.0	4.0	3.0	0.0	0.0	1962.0	2.0	3.0
0Gkv1uh990bMQ4dRYJmrmksZpyy2	27.245	20.633	3891.66172093658	192.1808319091797	318.052978515625	3.1539816856384277	7.728367805480957	-3.0553324222564697	7.488399505615234	6.229306054263889	17.45684053121109	28.0	12.0	6889.203144429928	9.648743899761804	9.750084973044276	1.0	3.0	2.25	2.75	2.25	0.0	30.499	24.188	4011.202949335923	170.32708740234375	327.0712890625	3.1408793926239014	8.833285331726074	-3.1415865421295166	7.88926887512207	5.9690471914373715	15.80918617290252	24.0	10.0	6894.212322348366	6.383529928100339	6.918121722995654	1.0	3.0	2.25	2.75	2.25	0.0	0.0	1951.0	2.0	3.0
0SGumftAKiSMAHmiRFgYWKTuJBv2	20.696	18.303	4199.466441187022	232.52859497070312	422.21331787109375	4.353265285491943	8.879850387573242	-4.472238540649414	10.137548446655273	10.246549480325216	19.15751109692382	21.0	18.0	11874.278451084876	12.030677255405143	15.31914240135338	2.0	3.0	2.25	3.5	3.0	1.0	19.987	16.065	4016.501351176028	254.53115844726562	467.5206604003906	5.002199172973633	13.590949058532715	-4.985081195831299	10.705946922302246	9.590166268887417	19.82476400143352	31.0	17.0	6457.197951573797	7.198659923716607	8.91176934010879	2.0	3.0	2.5	3.25	3.0	0.0	1.0	1960.0	2.0	4.0
0dId8WvZJXOQVEq2yiClTP09BA52	25.142	21.635	3746.09712064023	177.1204376220703	399.0365905761719	3.7982218265533447	14.078109741210938	-3.4971463680267334	9.642996788024902	7.640037327253592	18.891979447148543	13.0	14.0	4065.3150581460864	6.719529021729068	6.915739856365014	2.0	2.0	1.75	2.5	1.5	2.0	28.429	23.338	3656.1729843508774	160.1477508544922	362.14654541015625	3.345698118209839	13.436422348022461	-3.0124924182891846	8.375452041625977	6.365342877078056	15.47433675839916	9.0	15.0	4671.377950079309	7.1210029726818735	6.780940859287611	2.0	2.0	1.5	0.75	1.75	4.0	0.0	1978.0	1.0	3.0
0fsPLgG0FMhnICv9c2EVyG4rxri1	19.157	16.589	3850.5556860069137	235.94093322753906	449.3334655761719	5.111295223236084	13.793258666992188	-4.650598526000977	11.202840805053711	6.548831507159947	17.33582826974485	19.0	18.0	6914.255180313401	9.23131532752123	12.196915359250585	0.0	3.0	2.0	3.0	2.25	1.0	23.968	19.093	4462.001794318207	239.12123107910156	605.0447387695312	5.352813720703125	16.907299041748047	-5.069756507873535	16.7220516204834	7.502856940623235	19.201697791715745	19.0	19.0	6725.2893676237045	7.756965821941989	10.025881849556425	1.0	2.0	1.75	1.75	2.0	2.0	1.0	1966.0	1.0	5.0
0hviV1NhqqfHA4DiNQhduEe6US13	15.216	13.353	3825.603702803953	291.4745788574219	538.8297729492188	5.400479793548584	12.251155853271484	-5.050703048706055	10.570878982543945	7.142243848248563	16.961212987376133	15.0	14.0	4594.717605232959	8.219530599701178	9.782343174040175	0.0	3.0	2.5	3.5	2.0	0.0	16.425	13.113	4467.423501754283	346.715087890625	683.078369140625	6.557174205780029	15.737174987792969	-6.009568214416504	13.58957576751709	8.465482663722062	19.057964991476968	24.0	21.0	6125.804920351114	10.616646309100718	13.318329040652303	0.0	3.0	2.25	3.5	2.0	0.0	1.0	1989.0	1.0	4.0
0oBlAr5vhCMKUUWqF368klmi1s53	21.467	18.019	3688.187472262073	209.2588653564453	316.83551025390625	4.363709926605225	9.010942459106445	-4.12874698638916	7.723200798034668	10.586867851104255	22.044640095216927	23.0	20.0	5117.281757604809	5.617213784418012	6.731805260299013	2.0	4.0	2.25	3.25	3.0	0.0	20.77	17.103	3740.750203366652	219.7210235595703	370.2924499511719	4.654183387756348	10.51327133178711	-4.3659796714782715	8.808608055114746	9.523524175607413	22.825182485144982	31.0	12.0	4951.351359716868	6.672980269160199	7.47819284206779	1.0	1.0	2.5	2.5	3.0	1.0	0.0	1966.0	2.0	4.0
