ID	Task_duration_Pr_Slider	Working_time_Pr_Slider	mouse_dist__Pr_Slider	speed_mean__Pr_Slider	speed_sd__Pr_Slider	pos_accel_mean_Pr_Slider	pos_accel_sd_Pr_Slider	neg_accel_mean_Pr_Slider	neg_accel_sd_Pr_Slider	angle_mean__Pr_Slider	angle_sd__Pr_Slider	x_flips__Pr_Slider	y_flips__Pr_Slider	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_Slider	Working_time_Con_Slider	mouse_dist__Con_Slider	speed_mean__Con_Slider	speed_sd__Con_Slider	pos_accel_mean_Con_Slider	pos_accel_sd_Con_Slider	neg_accel_mean_Con_Slider	neg_accel_sd_Con_Slider	angle_mean__Con_Slider	angle_sd__Con_Slider	x_flips__Con_Slider	y_flips__Con_Slider	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
00TRzV9mL7Vchd3wTP7GQeXQoP12	29.151	23.06	10701.308375105378	465.9833984375	1066.74560546875	8.965444564819336	25.15256118774414	-8.641834259033203	23.78325653076172	4.9781966386850005	16.379427365800538	19.0	30.0	1.0	2.0	1.75	1.25	1.5	2.0	28.576	23.035	10560.82199918563	460.46746826171875	1116.155517578125	8.396388053894043	23.638181686401367	-8.67986011505127	22.800914764404297	5.337863132721647	16.854928261879287	22.0	32.0	1.0	2.0	1.75	1.25	1.25	1.0	1.0	1976.0	1.0	3.0
00ab0X0B6JQVYBrc8xU6GHIOxEL2	39.008	30.964	10274.880093796464	332.5203857421875	864.8389282226562	5.8109025955200195	18.071006774902344	-6.119609355926514	19.89528465270996	5.333305856537443	20.11133787211858	32.0	30.0	1.0	3.0	2.0	2.5	1.5	0.0	45.836	34.946	11537.16504976507	330.53045654296875	667.1917724609375	4.739068508148193	12.260167121887207	-4.776285648345947	12.347824096679688	5.607057527927046	19.82611562659003	34.0	36.0	1.0	3.0	2.5	2.75	1.75	1.0	1.0	1952.0	2.0	5.0
06OMljv8cMRWXdQzI0PcuHVLTnQ2	97.575	74.07	10617.783795233714	143.4351043701172	376.4045104980469	3.247058868408203	10.740038871765137	-3.2031593322753906	10.208776473999023	6.1585459156989275	15.925472299389169	55.0	190.0	2.0	2.0	2.0	1.5	1.75	2.0	73.791	54.462	10405.372757919573	191.2576446533203	463.4380798339844	4.386768341064453	14.110766410827637	-4.385482311248779	13.58792495727539	6.556330811821525	17.33200504569042	41.0	153.0	2.0	2.0	1.75	2.0	2.0	1.0	0.0	1950.0	2.0	5.0
0FJuIKlKgoUhc4jzmewtctIch3x2	35.841	28.953	9710.20634602407	337.6875915527344	598.6397705078125	4.47000789642334	8.205085754394531	-4.134978771209717	7.8971428871154785	7.307279895822517	21.10262581394774	26.0	33.0	0.0	4.0	2.75	4.0	2.25	0.0	37.785	29.1	10166.438709180668	350.6273193359375	638.2017211914062	4.585952281951904	8.94711685180664	-4.522356033325195	9.255918502807617	7.245643530812744	22.08581104979415	25.0	51.0	0.0	4.0	3.0	4.0	3.0	0.0	0.0	1962.0	2.0	3.0
0Gkv1uh990bMQ4dRYJmrmksZpyy2	56.175	46.372	9620.039121393409	209.7926025390625	444.07025146484375	3.906747817993164	12.262962341308594	-3.7822747230529785	10.418907165527344	3.5581107716828204	15.330071066279803	24.0	24.0	1.0	3.0	2.25	2.75	2.25	0.0	48.08	36.749	9428.696647771958	258.46209716796875	506.0163879394531	4.912107467651367	13.95219898223877	-5.0728559494018555	13.777121543884277	4.426449705443723	18.165031911277893	25.0	23.0	1.0	3.0	2.25	2.75	2.25	0.0	0.0	1951.0	2.0	3.0
0SGumftAKiSMAHmiRFgYWKTuJBv2	52.96	43.915	9381.991299583713	215.3067626953125	570.4185180664062	3.3580000400543213	10.794466972351074	-3.459027051925659	10.471357345581055	3.0662344639458476	13.510994570465982	21.0	37.0	1.0	3.0	2.25	3.5	3.0	1.0	41.37	30.319	9864.22225230348	326.1978454589844	731.86279296875	5.263111591339111	12.996514320373535	-5.547743797302246	13.859448432922363	3.5408379771801393	16.70955569040214	23.0	32.0	2.0	2.0	2.5	3.25	3.0	0.0	1.0	1960.0	2.0	4.0
0dId8WvZJXOQVEq2yiClTP09BA52	53.954	39.809	11283.18372051747	286.7755432128906	768.847900390625	6.927032470703125	30.213266372680664	-6.109323978424072	19.956497192382812	6.769055274593619	18.416929946562863	27.0	55.0	2.0	2.0	1.75	2.5	1.5	2.0	39.751	30.066	9484.376878093626	319.33929443359375	721.2407836914062	6.51687479019165	23.27743148803711	-6.067494869232178	16.519075393676758	6.329865864488785	18.584051498552867	21.0	55.0	3.0	1.0	1.5	0.75	1.75	4.0	0.0	1978.0	1.0	3.0
0fsPLgG0FMhnICv9c2EVyG4rxri1	38.08	31.092	9680.621511615189	311.7752380371094	722.4655151367188	6.188312530517578	19.110580444335938	-5.940723419189453	18.964799880981445	4.263242032655307	19.7114612198801	25.0	30.0	1.0	3.0	2.0	3.0	2.25	1.0	33.773	25.836	9312.114060234737	364.53765869140625	760.25732421875	7.593275547027588	21.202150344848633	-7.040839195251465	18.1533260345459	4.580169239782151	18.62608689050411	21.0	50.0	2.0	3.0	1.75	1.75	2.0	2.0	1.0	1966.0	1.0	5.0
0hviV1NhqqfHA4DiNQhduEe6US13	25.839	21.138	9522.905167610412	452.8247985839844	936.880126953125	7.965120315551758	19.210025787353516	-7.580069065093994	18.397518157958984	6.645675801857303	22.797112911977173	25.0	31.0	0.0	3.0	2.5	3.5	2.0	0.0	30.806	23.07	9470.032299912407	412.6375732421875	808.4274291992188	6.998321533203125	20.25083351135254	-6.491600513458252	15.401893615722656	5.598108686969319	20.935017870294047	27.0	33.0	0.0	3.0	2.25	3.5	2.0	0.0	1.0	1989.0	1.0	4.0
0oBlAr5vhCMKUUWqF368klmi1s53	50.452	38.808	9850.009291819046	257.31475830078125	546.3214721679688	5.989628314971924	15.650276184082031	-5.904500961303711	14.794634819030762	6.467525492138121	20.649357065498062	42.0	58.0	1.0	3.0	2.25	3.25	3.0	0.0	45.273	32.828	9196.226473211918	281.1012268066406	549.4662475585938	5.753546714782715	14.029582023620605	-5.589674472808838	13.533267974853516	5.597143807860749	19.414687345432256	24.0	64.0	2.0	1.0	2.5	2.5	3.0	1.0	0.0	1966.0	2.0	4.0
